Date,Open,High,Low,Close,Adj Close,Volume
10/28/20,115.050003,115.43,111.099998,111.199997,108.942963,143937800
10/29/20,112.370003,116.93,112.199997,115.32,112.979347,146129200
10/30/20,111.059998,111.989998,107.720001,108.860001,106.650482,190272600
11/2/20,109.110001,110.68,107.32,108.769997,106.562294,122866900
11/3/20,109.660004,111.489998,108.730003,110.440002,108.198402,107624400
11/4/20,114.139999,115.589996,112.349998,114.949997,112.616867,138235500
11/5/20,117.949997,119.620003,116.870003,119.029999,116.614052,126387100
11/6/20,118.32,119.199997,116.129997,118.690002,116.48156,114457900
11/9/20,120.5,121.989998,116.050003,116.32,114.155663,154515300
11/10/20,115.550003,117.589996,114.129997,115.970001,113.81218,138023400
11/11/20,117.190002,119.629997,116.440002,119.489998,117.26667,112295000
11/12/20,119.620003,120.529999,118.57,119.209999,116.991882,103162300
11/13/20,119.440002,119.669998,117.870003,119.260002,117.040962,81581900
11/16/20,118.919998,120.989998,118.150002,120.300003,118.061615,91183000
11/17/20,119.550003,120.669998,118.959999,119.389999,117.168541,74271000
11/18/20,118.610001,119.82,118,118.029999,115.833839,76322100
11/19/20,117.589996,119.059998,116.809998,118.639999,116.432503,74113000
11/20/20,118.639999,118.769997,117.290001,117.339996,115.15667,73604300
11/23/20,117.18,117.620003,113.75,113.849998,111.731621,127959300
11/24/20,113.910004,115.849998,112.589996,115.169998,113.027054,113874200
11/25/20,115.550003,116.75,115.169998,116.029999,113.871063,76499200
11/27/20,116.57,117.489998,116.220001,116.589996,114.420624,46691300
11/30/20,116.970001,120.970001,116.809998,119.050003,116.834869,169410200
12/1/20,121.010002,123.470001,120.010002,122.720001,120.436569,127728200
12/2/20,122.019997,123.370003,120.889999,123.080002,120.789886,89004200
12/3/20,123.519997,123.779999,122.209999,122.940002,120.652496,78967600
12/4/20,122.599998,122.860001,121.519997,122.25,119.975319,78260400
12/7/20,122.309998,124.57,122.25,123.75,121.447395,86712000
12/8/20,124.370003,124.980003,123.089996,124.379997,122.065689,82225500
12/9/20,124.529999,125.949997,121,121.779999,119.514061,115089200
12/10/20,120.5,123.870003,120.150002,123.239998,120.946899,81312200
12/11/20,122.43,122.760002,120.550003,122.410004,120.132347,86939800
12/14/20,122.599998,123.349998,121.540001,121.779999,119.514061,79184500
12/15/20,124.339996,127.900002,124.129997,127.879997,125.500557,157243700
12/16/20,127.410004,128.369995,126.559998,127.809998,125.431854,98208600
12/17/20,128.899994,129.580002,128.039993,128.699997,126.305305,94359800
12/18/20,128.960007,129.100006,126.120003,126.660004,124.303276,192541500
12/21/20,125.019997,128.309998,123.449997,128.229996,125.844063,121251600
12/22/20,131.610001,134.410004,129.649994,131.880005,129.426163,168904800
12/23/20,132.160004,132.429993,130.779999,130.960007,128.523254,88223700
12/24/20,131.320007,133.460007,131.100006,131.970001,129.514481,54930100
12/28/20,133.990005,137.339996,133.509995,136.690002,134.146622,124486200
12/29/20,138.050003,138.789993,134.339996,134.869995,132.360489,121047300
12/30/20,135.580002,135.990005,133.399994,133.720001,131.231918,96452100
12/31/20,134.080002,134.740005,131.720001,132.690002,130.221069,99116600
1/4/21,133.520004,133.610001,126.760002,129.410004,127.002098,143301900
1/5/21,128.889999,131.740005,128.429993,131.009995,128.572327,97664900
1/6/21,127.720001,131.050003,126.379997,126.599998,124.244377,155088000
1/7/21,128.360001,131.630005,127.860001,130.919998,128.483994,109578200
1/8/21,132.429993,132.630005,130.229996,132.050003,129.592957,105158200
1/11/21,129.190002,130.169998,128.5,128.979996,126.580093,100384500
1/12/21,128.5,129.690002,126.860001,128.800003,126.403442,91951100
1/13/21,128.759995,131.449997,128.490005,130.889999,128.454559,88636800
1/14/21,130.800003,131,128.759995,128.910004,126.511421,90221800
1/15/21,128.779999,130.220001,127,127.139999,124.774345,111598500
1/19/21,127.779999,128.710007,126.940002,127.830002,125.451508,90757300
1/20/21,128.660004,132.490005,128.550003,132.029999,129.573349,104319500
1/21/21,133.800003,139.669998,133.589996,136.869995,134.323288,120150900
1/22/21,136.279999,139.850006,135.020004,139.070007,136.482376,114459400
1/25/21,143.070007,145.089996,136.539993,142.919998,140.260712,157611700
1/26/21,143.600006,144.300003,141.369995,143.160004,140.496262,98390600
